S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
24614,CNKTPVEI,test,2,"[('Tringa Ochropus Bird', 'Attending')]",['Tringa Ochropus Bird'],['Bird']
24615,CNLYPKGZ,test,37,"[('Coronate Medusa Jellyfish', 'Drifting')]",['Coronate Medusa Jellyfish'],['Sea animal']
24616,CNPMBNCR,test,68,"[('Goose', 'Keeping still')]",['Goose'],['Bird']
24617,CNXPMDFS,test,68,"[('Wild Red-Tailed Boa', 'Keeping still')]",['Wild Red-Tailed Boa'],['Reptile']
24618,CNYCFXDO,test,133,"[('Rhinoceros', 'Walking'), ('Lion', 'Walking')]","['Rhinoceros', 'Lion']",['Mammal']
24619,COIXFRGE,test,123,"[('Marine Iguana', 'Swimming')]",['Marine Iguana'],['Reptile']
24620,COJJHVEI,test,"2,68,52,102","[('Larus Canus Bird', 'Keeping still'), ('Larus Canus Bird', 'Flying'), ('Larus Canus Bird', 'Sensing'), ('Larus Canus Bird', 'Attending')]","['Larus Canus Bird', 'Larus Canus Bird', 'Larus Canus Bird', 'Larus Canus Bird']",['Bird']
24621,COKZNPLS,test,"68,133,102","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Sensing'), ('Ardea Alba Egret', 'Walking')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
24622,COMLYFNJ,test,68,"[('Iguana', 'Keeping still')]",['Iguana'],['Reptile']
24623,COPQBBQT,test,40,"[('Otter', 'Eating')]",['Otter'],['Mammal']
24624,COQOWXYT,test,2,"[('Raven', 'Attending')]",['Raven'],['Bird']
24625,COUHGDFS,test,68,"[('Annulated Tree Boa', 'Keeping still')]",['Annulated Tree Boa'],['Reptile']
24626,COXGXJNO,test,68,"[('Rhacodactylus Trachyrhynchus Gecko', 'Keeping still')]",['Rhacodactylus Trachyrhynchus Gecko'],['Reptile']
24627,CPAPGHIS,test,78,"[('Ant', 'Moving')]",['Ant'],['Insect']
24628,CPCKCDHC,test,"68,78","[('Black Bean Aphid', 'Moving'), ('Black Bean Aphid', 'Keeping still')]","['Black Bean Aphid', 'Black Bean Aphid']",['Insect']
24629,CPDMONQN,test,102,"[('Common Rosefinch Bird', 'Sensing')]",['Common Rosefinch Bird'],['Bird']
24630,CPGHJPTK,test,"2,68,102,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Keeping still')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24631,CPKEEHGW,test,"114,40","[('Circus Aeruginosus Bird', 'Spreading Wings'), ('Circus Aeruginosus Bird', 'Eating')]","['Circus Aeruginosus Bird', 'Circus Aeruginosus Bird']",['Bird']
24632,CPKUSHCU,test,"104,102,15","[('Chaffinch Bird', 'Shaking Head'), ('Chaffinch Bird', 'Chirping'), ('Chaffinch Bird', 'Sensing')]","['Chaffinch Bird', 'Chaffinch Bird', 'Chaffinch Bird']",['Bird']
24633,CPRFAPTK,test,"2,68,102,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Keeping still')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24634,CPUAEPTK,test,"2,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
24635,CPUYAVEI,test,"48,32,49","[('Vanellus Vanellus Bird', 'Flapping'), ('Vanellus Vanellus Bird', 'Doing A Face Dip'), ('Vanellus Vanellus Bird', 'Flapping Tail')]","['Vanellus Vanellus Bird', 'Vanellus Vanellus Bird', 'Vanellus Vanellus Bird']",['Bird']
24636,CPWYLLSK,test,"68,75,78","[('Turtle', 'Moving'), ('Turtle', 'Keeping still'), ('Sea Lion', 'Moving'), ('Sea Lion', 'Lying On Top')]","['Turtle', 'Turtle', 'Sea Lion', 'Sea Lion']","['Reptile', 'Sea animal']"
24637,CPXYOSBA,test,102,"[('Bird', 'Sensing')]",['Bird'],['Bird']
24638,CPYZFDAL,test,"52,123,69,40,68,32","[('Grey Heron', 'Flying'), ('Grey Heron', 'Keeping still'), ('Grey Heron', 'Landing'), ('Mallard Duck', 'Doing A Face Dip'), ('Mallard Duck', 'Flying'), ('Mallard Duck', 'Swimming'), ('Mallard Duck', 'Eating')]","['Grey Heron', 'Grey Heron', 'Grey Heron', 'Mallard Duck', 'Mallard Duck', 'Mallard Duck', 'Mallard Duck']",['Bird']
24639,CQABIUOO,test,102,"[('Icterine Warbler Bird', 'Sensing')]",['Icterine Warbler Bird'],['Bird']
24640,CQDSBBXG,test,100,"[('Common Crane', 'Running')]",['Common Crane'],['Bird']
24641,CQDVVKRF,test,"68,102","[('Dispholidus Typus Snake', 'Keeping still'), ('Dispholidus Typus Snake', 'Sensing')]","['Dispholidus Typus Snake', 'Dispholidus Typus Snake']",['Reptile']
24642,CQIAFPTK,test,"2,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
24643,CQIFURGE,test,28,"[('Marine Iguana', 'Diving')]",['Marine Iguana'],['Reptile']
24644,CQVTMSBA,test,68,"[('Bird', 'Keeping still')]",['Bird'],['Bird']
24645,CQXTHXDB,test,40,"[('Postman Butterfly', 'Eating')]",['Postman Butterfly'],['Insect']
24646,CRCOCDSN,test,"139,133,102","[('Snow Leopard', 'Sensing'), ('Snow Leopard', 'Yawning'), ('Snow Leopard', 'Walking')]","['Snow Leopard', 'Snow Leopard', 'Snow Leopard']",['Mammal']
24647,CRDTQOTL,test,"114,15","[('Great Snipe', 'Chirping')]",['Great Snipe'],['Bird']
24648,CREADAEM,test,40,"[('Lanius Excubitor', 'Eating')]",['Lanius Excubitor'],['Bird']
24649,CRGTYVEI,test,104,"[('Motacilla Alba Bird', 'Shaking Head')]",['Motacilla Alba Bird'],['Bird']
24650,CRGZJOYV,test,78,"[('Argentine Ant', 'Moving')]",['Argentine Ant'],['Insect']
24651,CRKBRXYT,test,116,"[('Raven', 'Standing')]",['Raven'],['Bird']
24652,CRKRELHH,test,68,"[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
24653,CROFKKDQ,test,"68,133,102","[('Great Egret', 'Walking'), ('Great Egret', 'Keeping still'), ('Great Egret', 'Sensing')]","['Great Egret', 'Great Egret', 'Great Egret']",['Bird']
24654,CRPBMAMC,test,"108,133","[('Lion Young', 'Sitting'), ('Lion Young', 'Walking')]","['Lion Young', 'Lion Young']",['Mammal']
24655,CRRDIVEI,test,"2,102,90","[('Tringa Nebularia Bird', 'Sensing'), ('Tringa Nebularia Bird', 'Preening'), ('Tringa Nebularia Bird', 'Attending')]","['Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird']",['Bird']
24656,CRRHNXSF,test,"21,40","[('Mouse', 'Dead'), ('Great Grey Shrike', 'Eating')]","['Mouse', 'Great Grey Shrike']","['Bird', 'Mammal']"
24657,CRTUGPTK,test,"2,68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Attending')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24658,CRUBWMYV,test,68,"[('Atheris Hispida Viper', 'Keeping still')]",['Atheris Hispida Viper'],['Reptile']
24659,CRVUPVCV,test,133,"[('Salamander', 'Walking')]",['Salamander'],['Amphibian']
24660,CRYJSKDQ,test,"8,52,102","[('Great Egret', 'Biting'), ('Great Egret', 'Flying'), ('Great Egret', 'Sensing')]","['Great Egret', 'Great Egret', 'Great Egret']",['Bird']
24661,CRYWHAEM,test,40,"[('Lanius Excubitor', 'Eating')]",['Lanius Excubitor'],['Bird']
24662,CSADYUDI,test,"68,102,15","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Chirping'), ('Robin Bird', 'Sensing')]","['Robin Bird', 'Robin Bird', 'Robin Bird']",['Bird']
24663,CSBHJPLS,test,"68,40,133,102","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Sensing'), ('Ardea Alba Egret', 'Eating'), ('Ardea Alba Egret', 'Walking')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
24664,CSDOSPTK,test,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24665,CSEJEZJZ,test,15,"[('Raven', 'Chirping')]",['Raven'],['Bird']
24666,CSFCVPKK,test,"102,84,67,68,46","[('Black-Winged Stilt', 'Falling'), ('Black-Winged Stilt', 'Jumping'), ('Black-Winged Stilt', 'Sensing'), ('Black-Winged Stilt', 'Keeping still'), ('Black-Winged Stilt', 'Performing copulatory mounting')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
24667,CSFFOPIK,test,123,"[('Blue Whale', 'Swimming')]",['Blue Whale'],['Fish']
24668,CSHALXDO,test,"1,26,102","[('Wild Dog', 'Attacking'), ('Hyena', 'Sensing'), ('Hyena', 'Displaying Defensive Pose')]","['Wild Dog', 'Hyena', 'Hyena']",['Mammal']
24669,CSIJTPAB,test,"5,8","[('Dice Snake', 'Biting'), ('Vimba Fish', 'Being Carried In Mouth')]","['Dice Snake', 'Vimba Fish']","['Reptile', 'Fish']"
24670,CSINZVEI,test,"52,102,90,68,32,133,100","[('Tringa Glareola Bird', 'Running'), ('Tringa Glareola Bird', 'Sensing'), ('Tringa Glareola Bird', 'Keeping still'), ('Tringa Glareola Bird', 'Walking'), ('Tringa Glareola Bird', 'Preening'), ('Tringa Glareola Bird', 'Doing A Face Dip'), ('Tringa Glareola Bird', 'Flying')]","['Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
24671,CSMXSPIF,test,121,"[('Orca', 'Surfacing')]",['Orca'],['Fish']
24672,CSNHOFGA,test,"69,52,133","[('Bird', 'Landing'), ('Bird', 'Flying'), ('Bird', 'Walking')]","['Bird', 'Bird', 'Bird']",['Bird']
24673,CSQQRFYY,test,52,"[('Oriental Pied Hornbill', 'Flying')]",['Oriental Pied Hornbill'],['Bird']
24674,CSRQNFFP,test,123,"[('Butterfly Fish', 'Swimming')]",['Butterfly Fish'],['Fish']
24675,CSTXJTKX,test,"48,40,102","[('Bullfinch', 'Flapping'), ('Bullfinch', 'Sensing')]","['Bullfinch', 'Bullfinch']",['Bird']
24676,CSUKCLHH,test,25,"[('Desert Rain Frog', 'Digging')]",['Desert Rain Frog'],['Amphibian']
24677,CSUVXBGG,test,"90,15","[('Citrine Wagtail', 'Preening'), ('Citrine Wagtail', 'Chirping')]","['Citrine Wagtail', 'Citrine Wagtail']",['Bird']
24678,CSWHQAMC,test,"108,102,106,65,133,46","[('Lion Young', 'Falling'), ('Lion Young', 'Sensing'), ('Lion Young', 'Walking'), ('Lion Young', 'Hugging'), ('Lion Young', 'Sitting')]","['Lion Young', 'Lion Young', 'Lion Young', 'Lion Young', 'Lion Young']",['Mammal']
24679,CSWVKVCR,test,68,"[('Tortoise', 'Keeping still')]",['Tortoise'],['Reptile']
24680,CTDDKKPH,test,102,"[('Starling Bird', 'Sensing')]",['Starling Bird'],['Bird']
24681,CTGBFNQN,test,15,"[('Common Wood Pigeon', 'Chirping')]",['Common Wood Pigeon'],['Bird']
24682,CTHPVFGA,test,100,"[('Wildebeest', 'Running')]",['Wildebeest'],['Mammal']
24683,CTJRSLHH,test,68,"[('Salamander', 'Keeping still')]",['Salamander'],['Amphibian']
24684,CTNFPPTK,test,15,"[('Singing Nightingale', 'Chirping')]",['Singing Nightingale'],['Bird']
24685,CTOBRPTK,test,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24686,CTOXNCIW,test,"78,67","[('Salticidae Jumping Spider', 'Moving'), ('Salticidae Jumping Spider', 'Jumping')]","['Salticidae Jumping Spider', 'Salticidae Jumping Spider']",['Insect']
24687,CTPUBPTK,test,"102,2,15,68,22","[('Singing Nightingale', 'Defecating'), ('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Keeping still')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24688,CTSQVIFB,test,"40,7","[('Fly', 'Being Eaten'), ('Glass Frog', 'Eating')]","['Fly', 'Glass Frog']","['Amphibian', 'Insect']"
24689,CTUPXAEM,test,40,"[('Lanius Excubitor', 'Eating')]",['Lanius Excubitor'],['Bird']
24690,CTVEKLBD,test,"2,68","[('Botaurus Stellaris Bird', 'Attending'), ('Botaurus Stellaris Bird', 'Keeping still')]","['Botaurus Stellaris Bird', 'Botaurus Stellaris Bird']",['Bird']
24691,CUFUVBXG,test,"68,90","[('Common Crane', 'Preening'), ('Common Crane', 'Keeping still')]","['Common Crane', 'Common Crane']",['Bird']
24692,CUGXFCJH,test,"68,78,102","[('Ant', 'Sensing'), ('Ant', 'Moving'), ('Aphid', 'Keeping still')]","['Ant', 'Ant', 'Aphid']",['Insect']
24693,CUIWXHCU,test,"102,15","[('Chaffinch Bird', 'Chirping'), ('Chaffinch Bird', 'Sensing')]","['Chaffinch Bird', 'Chaffinch Bird']",['Bird']
24694,CULZBUPH,test,"105,133,13,15","[('Water Dipper Bird', 'Walking'), ('Water Dipper Bird', 'Sharing Food'), ('Water Dipper Bird', 'Chirping')]","['Water Dipper Bird', 'Water Dipper Bird', 'Water Dipper Bird']",['Bird']
24695,CUPONNHV,test,133,"[('Corncrake', 'Walking')]",['Corncrake'],['Bird']
24696,CUQIJHGW,test,133,"[('Circus Aeruginosus Bird', 'Walking')]",['Circus Aeruginosus Bird'],['Bird']
24697,CUUQKLHH,test,58,"[('Frog', 'Grooming')]",['Frog'],['Amphibian']
24698,CUVOGUXS,test,"2,68,102","[('Black Necked Spitting Cobra', 'Attending'), ('Black Necked Spitting Cobra', 'Keeping still'), ('Black Necked Spitting Cobra', 'Sensing')]","['Black Necked Spitting Cobra', 'Black Necked Spitting Cobra', 'Black Necked Spitting Cobra']",['Reptile']
24699,CUYROLHH,test,68,"[('Marbled Rubber Frog', 'Keeping still')]",['Marbled Rubber Frog'],['Amphibian']
24700,CVACKUXS,test,"2,68","[('Ashe''s Spitting Cobra', 'Attending'), ('Ashe''s Spitting Cobra', 'Keeping still')]","['[', '[']",['Reptile']
24701,CVAGHAMC,test,"133,100","[('Lion Young', 'Running'), ('Lion', 'Walking')]","['Lion Young', 'Lion']",['Mammal']
24702,CVBOAOYV,test,78,"[('Argentine Ant', 'Moving')]",['Argentine Ant'],['Insect']
24703,CVEGSWBO,test,68,"[('Golden Eagle', 'Keeping still')]",['Golden Eagle'],['Bird']
24704,CVELRVEI,test,"2,48","[('Anas Crecca Bird', 'Flapping'), ('Anas Crecca Bird', 'Attending')]","['Anas Crecca Bird', 'Anas Crecca Bird']",['Bird']
24705,CVELUBQT,test,"123,102","[('Otter', 'Sensing'), ('Otter', 'Swimming')]","['Otter', 'Otter']",['Mammal']
24706,CVFADGCS,test,"3,102,118,68,97","[('Lion', 'Keeping still'), ('Lion', 'Retreating'), ('Lion', 'Barking'), ('Lion', 'Startled'), ('Lion', 'Sensing')]","['Lion', 'Lion', 'Lion', 'Lion', 'Lion']",['Mammal']
24707,CVFBIPTK,test,"68,90,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Preening')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24708,CVGMSXFE,test,"52,121","[('Tern', 'Flying'), ('Giant Trevally', 'Surfacing')]","['Tern', 'Giant Trevally']","['Bird', 'Fish']"
24709,CVHUIAYR,test,102,"[('Quail', 'Sensing')]",['Quail'],['Bird']
24710,CVIOJSEK,test,38,"[('Jack Snipe Bird', 'Drinking')]",['Jack Snipe Bird'],['Bird']
24711,CVJXBVEI,test,40,"[('Numenius Arquata Bird', 'Eating')]",['Numenius Arquata Bird'],['Bird']
24712,CVKBWVEI,test,"40,102","[('Anthus Pratensis Bird', 'Sensing'), ('Anthus Pratensis Bird', 'Eating')]","['Anthus Pratensis Bird', 'Anthus Pratensis Bird']",['Bird']
24713,CVMFSVEI,test,"40,133,45","[('Tringa Nebularia Bird', 'Eating'), ('Tringa Nebularia Bird', 'Walking')]","['Tringa Nebularia Bird', 'Tringa Nebularia Bird']",['Bird']
24714,CVNUCVEI,test,"49,2,40,133","[('Duck', 'Attending'), ('Duck', 'Walking'), ('Gallinago Gallinago Bird', 'Flapping Tail'), ('Gallinago Gallinago Bird', 'Eating'), ('Duck', 'Flapping Tail'), ('Duck', 'Eating'), ('Gallinago Gallinago Bird', 'Attending')]","['Duck', 'Duck', 'Gallinago Gallinago Bird', 'Gallinago Gallinago Bird', 'Duck', 'Duck', 'Gallinago Gallinago Bird']",['Bird']
24715,CVNVEMRN,test,"40,133","[('Common Snipe', 'Walking'), ('Common Snipe', 'Eating')]","['Common Snipe', 'Common Snipe']",['Bird']
24716,CVWDQPTK,test,"2,68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Attending')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24717,CVWRFKRV,test,"49,102","[('Cuckoo Bird', 'Sensing'), ('Cuckoo Bird', 'Flapping Tail')]","['Cuckoo Bird', 'Cuckoo Bird']",['Bird']
24718,CVYRGELW,test,67,"[('Water Strider', 'Jumping')]",['Water Strider'],['Insect']
24719,CWAUJPTK,test,68,"[('Singing Nightingale', 'Keeping still')]",['Singing Nightingale'],['Bird']
24720,CWDUPFGA,test,100,"[('Caribou', 'Running')]",['Caribou'],['Mammal']
24721,CWKHXFGA,test,100,"[('Caribou', 'Running'), ('Wolf', 'Running')]","['Caribou', 'Wolf']",['Mammal']
24722,CWKQPKEW,test,46,"[('Flying Snake', 'Falling')]",['Flying Snake'],['Reptile']
24723,CWNVJPTK,test,"102,15","[('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
24724,CWQQAKEW,test,101,"[('Common Basilisk Lizard', 'Running On Water')]",['Common Basilisk Lizard'],['Reptile']
24725,CWQSBHVR,test,"7,8","[('Dice Snake', 'Biting'), ('Perch Fish', 'Being Eaten')]","['Dice Snake', 'Perch Fish']","['Reptile', 'Fish']"
24726,CWUSGFGA,test,67,"[('Wolf', 'Jumping')]",['Wolf'],['Mammal']
24727,CWVLMVEI,test,"104,40,103,90","[('Numenius Arquata Bird', 'Preening'), ('Numenius Arquata Bird', 'Shaking Head'), ('Numenius Arquata Bird', 'Shaking'), ('Numenius Arquata Bird', 'Eating')]","['Numenius Arquata Bird', 'Numenius Arquata Bird', 'Numenius Arquata Bird', 'Numenius Arquata Bird']",['Bird']
24728,CWXLMXRE,test,"2,68","[('Great Egret', 'Attending'), ('Great Egret', 'Keeping still')]","['Great Egret', 'Great Egret']",['Bird']
24729,CXACZHVR,test,"40,7","[('Grass Snake', 'Eating'), ('Marsh Frog', 'Being Eaten')]","['Grass Snake', 'Marsh Frog']","['Amphibian', 'Reptile']"
24730,CXDEWKWA,test,78,"[('Snake', 'Moving')]",['Snake'],['Reptile']
24731,CXGLOZLK,test,"48,102,69,67,133","[('Water Rail Bird', 'Sensing'), ('Water Rail Bird', 'Flapping'), ('Water Rail Bird', 'Landing'), ('Water Rail Bird', 'Jumping')]","['Water Rail Bird', 'Water Rail Bird', 'Water Rail Bird', 'Water Rail Bird']",['Bird']
24732,CXOTOLHH,test,78,"[('Desert Rain Frog', 'Moving')]",['Desert Rain Frog'],['Amphibian']
24733,CXQTJHVR,test,"58,2,68,78","[('Dice Snake', 'Keeping still'), ('Dice Snake', 'Attending'), ('Housefly', 'Keeping still'), ('Housefly', 'Attending'), ('Ant', 'Moving'), ('Housefly', 'Grooming')]","['Dice Snake', 'Dice Snake', 'Housefly', 'Housefly', 'Ant', 'Housefly']","['Reptile', 'Insect']"
24734,CXSJIXDO,test,"133,102","[('Tiger', 'Walking'), ('Lion', 'Sensing')]","['Tiger', 'Lion']",['Mammal']
24735,CXTDUKEW,test,"38,68,133","[('Giraffe', 'Drinking'), ('Antelope', 'Keeping still'), ('Antelope', 'Walking')]","['Giraffe', 'Antelope', 'Antelope']",['Mammal']
24736,CXUVIFGA,test,"52,133","[('Bird', 'Flying'), ('Bird', 'Walking')]","['Bird', 'Bird']",['Bird']
24737,CXYCYFFP,test,"25,78","[('Yellow Watchman Goby Fish', 'Moving'), ('Pistol Shrimp', 'Digging')]","['Yellow Watchman Goby Fish', 'Pistol Shrimp']","['Fish', 'Sea animal']"
24738,CXZWLKEW,test,44,"[('Peacock Mantis Shrimp', 'Exiting Nest')]",['Peacock Mantis Shrimp'],['Sea animal']
24739,CXZXOMWW,test,68,"[('Luscinia Luscinia Nightingale Bird', 'Keeping still')]",['Luscinia Luscinia Nightingale Bird'],['Bird']
24740,CYALTVEI,test,38,"[('Vanellus Vanellus Bird', 'Drinking')]",['Vanellus Vanellus Bird'],['Bird']
24741,CYJMQUXS,test,"2,68,102","[('Ashe''s Spitting Cobra', 'Sensing'), ('Ashe''s Spitting Cobra', 'Attending'), ('Ashe''s Spitting Cobra', 'Keeping still')]","['[', '[', '[']",['Reptile']
24742,CYJNPMWW,test,"68,15","[('Luscinia Luscinia Nightingale Bird', 'Keeping still'), ('Luscinia Luscinia Nightingale Bird', 'Chirping')]","['Luscinia Luscinia Nightingale Bird', 'Luscinia Luscinia Nightingale Bird']",['Bird']
24743,CYPTZPLS,test,"68,133,102,90","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Sensing'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Preening')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
24744,CYSGDKEW,test,"38,68,133","[('Giraffe', 'Drinking'), ('Antelope', 'Keeping still'), ('Antelope', 'Walking')]","['Giraffe', 'Antelope', 'Antelope']",['Mammal']
24745,CYTIJXYT,test,"114,2,99","[('Raven', 'Attending'), ('Raven', 'Spreading Wings'), ('Raven', 'Rubbing its head')]","['Raven', 'Raven', 'Raven']",['Bird']
24746,CYTMTFNJ,test,46,"[('Iguana', 'Falling')]",['Iguana'],['Reptile']
24747,CYVPAZLK,test,"102,67","[('Water Rail Bird', 'Sensing'), ('Water Rail Bird', 'Jumping')]","['Water Rail Bird', 'Water Rail Bird']",['Bird']
24748,CYWSCKEW,test,2,"[('Stoat', 'Attending')]",['Stoat'],['Mammal']
24749,CZDODLHH,test,"68,92","[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
24750,CZEEQTEK,test,"123,12","[('Asian Small-Clawed Otter', 'Swimming')]",['Asian Small-Clawed Otter'],['Mammal']
24751,CZEPYKEW,test,78,"[('Snake', 'Moving')]",['Snake'],['Reptile']
24752,CZFJPNQN,test,15,"[('Reed Bunting Bird', 'Chirping')]",['Reed Bunting Bird'],['Bird']
24753,CZGHEEZZ,test,68,"[('Spotted Deer', 'Keeping still')]",['Spotted Deer'],['Mammal']
24754,CZHNRVEI,test,68,"[('Charadrius Dubius Bird', 'Keeping still')]",['Charadrius Dubius Bird'],['Bird']
24755,CZKKVVEI,test,"52,102,90,68,32,133,100","[('Tringa Glareola Bird', 'Running'), ('Tringa Glareola Bird', 'Sensing'), ('Tringa Glareola Bird', 'Keeping still'), ('Tringa Glareola Bird', 'Walking'), ('Tringa Glareola Bird', 'Preening'), ('Tringa Glareola Bird', 'Doing A Face Dip'), ('Tringa Glareola Bird', 'Flying')]","['Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
24756,CZPAZPTK,test,"102,15","[('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
24757,CZRZLWWK,test,107,"[('Vampire Squid', 'Sinking')]",['Vampire Squid'],['Sea animal']
24758,CZUIVUPH,test,103,"[('Crested Grebe Bird', 'Shaking')]",['Crested Grebe Bird'],['Bird']
24759,CZZQMPTK,test,68,"[('Singing Nightingale', 'Keeping still')]",['Singing Nightingale'],['Bird']
24760,DABMZLHH,test,"58,133","[('Marbled Rubber Frog', 'Walking')]",['Marbled Rubber Frog'],['Amphibian']
24761,DADZSNPL,test,102,"[('Red-Backed Shrike Bird', 'Sensing')]",['Red-Backed Shrike Bird'],['Bird']
24762,DASFFMRN,test,"40,133,123","[('Mallard Duck', 'Walking'), ('Mallard Duck', 'Swimming'), ('Mallard Duck', 'Eating'), ('Common Snipe', 'Eating')]","['Mallard Duck', 'Mallard Duck', 'Mallard Duck', 'Common Snipe']",['Bird']
24763,DATVAVDY,test,15,"[('Great Reed Warbler Bird', 'Chirping')]",['Great Reed Warbler Bird'],['Bird']
24764,DAUMZIFB,test,"68,78","[('Grasshopper', 'Moving'), ('Tomato Frog', 'Keeping still'), ('Grasshopper', 'Keeping still')]","['Grasshopper', 'Tomato Frog', 'Grasshopper']","['Amphibian', 'Insect']"
24765,DAVVMKDQ,test,"52,102","[('Great Egret', 'Flying'), ('Great Egret', 'Sensing')]","['Great Egret', 'Great Egret']",['Bird']
24766,DBGLQDFS,test,68,"[('Dumeril''s Boa', 'Keeping still')]",['['],['Reptile']
24767,DBGXZPKK,test,"38,102,84,67,68,133,46","[('Black-Winged Stilt', 'Falling'), ('Black-Winged Stilt', 'Jumping'), ('Black-Winged Stilt', 'Sensing'), ('Black-Winged Stilt', 'Keeping still'), ('Black-Winged Stilt', 'Walking'), ('Black-Winged Stilt', 'Performing copulatory mounting'), ('Black-Winged Stilt', 'Drinking')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
24768,DBHZKZQJ,test,67,"[('Bird', 'Jumping')]",['Bird'],['Bird']
24769,DBJYTPTK,test,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24770,DBLDAPTK,test,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
24771,DBMJTZQJ,test,40,"[('Otter', 'Eating')]",['Otter'],['Mammal']
24772,DBRBARGE,test,"68,78","[('Marine Iguana', 'Moving'), ('Marine Iguana', 'Keeping still')]","['Marine Iguana', 'Marine Iguana']",['Reptile']
24773,DBULZSBA,test,102,"[('Bird', 'Sensing')]",['Bird'],['Bird']
